# frame_id,base_footprint
# stamp_first_ns,12344000000
# stamp_last_ns,12984000000
# columns: x_m,y_m,color
x_m,y_m,color
14.581739,-2.080223,blue
12.108040,-3.733113,blue
10.455139,-6.206842,blue
9.874740,-9.124803,blue
6.874740,9.125197,blue
7.683519,5.059187,blue
8.440439,3.573647,blue
14.581739,2.080617,yellow
12.108040,3.733507,yellow
10.455139,6.207237,yellow
9.874740,9.125197,yellow
8.440439,-3.573252,yellow
7.683519,-5.058793,yellow
6.874740,-9.124803,yellow
2.499740,-1.499803,orange
7.499740,-1.499803,orange
2.499740,1.500197,orange
7.499740,1.500197,orange
10.455139,-12.042803,unknown
12.108040,-14.516502,unknown
14.581739,-16.169403,unknown
17.499739,-16.749802,unknown
17.499739,-1.499803,unknown
17.499739,19.750198,unknown
13.433740,18.941397,unknown
9.986730,16.638197,unknown
7.683519,13.191197,unknown
10.455139,12.043198,unknown
12.108040,14.516897,unknown
14.581739,16.169798,unknown
17.499739,16.750198,unknown
17.499739,1.500197,unknown
7.683519,-13.190803,unknown
9.986730,-16.637802,unknown
13.433740,-18.941002,unknown
17.499739,-19.749802,unknown
