x,y,color,var_x,var_y,cov_xy,hits,last_seen_s
79.672687,51.999919,blue,0.000278,0.000278,0.000000,144,226.666
77.146430,50.549199,blue,0.000250,0.000250,0.000000,160,244.836
75.241785,48.201906,blue,0.000278,0.000278,0.000000,144,226.666
74.439327,45.337048,blue,0.000278,0.000278,0.000000,144,226.666
72.866096,63.812377,blue,0.000252,0.000252,0.000000,159,232.386
73.341697,59.746918,blue,0.000193,0.000193,0.000000,207,232.526
73.912711,57.990052,blue,0.000185,0.000185,0.000000,216,231.736
79.998774,56.154778,yellow,0.000274,0.000274,0.000000,146,226.686
77.654654,57.997852,yellow,0.000238,0.000238,0.000000,168,231.366
76.204116,60.588710,yellow,0.000272,0.000272,0.000000,147,226.696
75.852481,63.545676,yellow,0.000270,0.000270,0.000000,148,226.706
73.377828,51.020206,yellow,0.000178,0.000178,0.000000,225,254.336
72.624280,49.561685,yellow,0.000200,0.000200,0.000000,200,244.156
71.446714,45.596703,yellow,0.000263,0.000263,0.000000,152,232.376
67.666691,53.554468,orange,0.000180,0.000180,0.000000,222,257.666
72.657308,53.033027,orange,0.000175,0.000175,0.000000,228,256.556
67.812967,56.533218,orange,0.000095,0.000095,0.000000,422,269.476
72.885662,56.153454,orange,0.000248,0.000248,0.000000,161,233.146
80.688282,52.986749,blue,0.000213,0.000213,0.000000,188,231.036
78.067262,51.534645,blue,0.000190,0.000190,0.000000,210,245.246
76.253194,49.170375,blue,0.000219,0.000219,0.000000,183,231.876
75.454823,46.306891,blue,0.000221,0.000221,0.000000,181,229.636
72.462332,46.530965,yellow,0.000225,0.000225,0.000000,178,229.626
80.990004,57.173481,yellow,0.000163,0.000163,0.000000,245,231.056
78.671829,58.966998,yellow,0.000212,0.000212,0.000000,189,231.536
74.443042,51.965943,yellow,0.000206,0.000206,0.000000,194,256.196
73.592961,50.402787,yellow,0.000234,0.000234,0.000000,171,232.426
73.656202,54.125087,orange,0.000141,0.000141,0.000000,284,256.416
75.001796,59.074394,blue,0.000200,0.000200,0.000000,200,232.266
77.214394,61.560055,yellow,0.000221,0.000221,0.000000,181,231.876
73.936001,57.029161,orange,0.000227,0.000227,0.000000,176,232.456
74.376433,60.632598,blue,0.000225,0.000225,0.000000,178,229.646
76.870272,64.518068,yellow,0.000225,0.000225,0.000000,178,229.656
68.735757,54.471125,orange,0.000136,0.000136,0.000000,294,257.396
68.871524,57.506078,orange,0.000122,0.000122,0.000000,329,271.636
73.891476,64.759700,blue,0.000225,0.000225,0.000000,178,229.656
78.823395,52.073524,blue,0.000325,0.000325,0.000000,123,231.426
75.719683,59.678635,blue,0.000290,0.000290,0.000000,138,231.776
79.396289,59.518125,yellow,0.000325,0.000325,0.000000,123,231.426
77.941163,62.129224,yellow,0.000342,0.000342,0.000000,117,229.356
77.585850,65.083051,yellow,0.000342,0.000342,0.000000,117,229.356
73.222522,47.141876,yellow,0.000260,0.000260,0.000000,154,230.626
69.629308,58.059961,orange,0.000220,0.000220,0.000000,182,254.306
81.413986,53.727330,blue,0.000216,0.000216,0.000000,185,230.976
76.992353,49.753704,blue,0.000345,0.000345,0.000000,116,229.356
